Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2018-08-01 00:00:00-04:00,252.79440423316265,253.30617672635722,251.5105068412518,252.16590881347656,53853300,0.0,0.0,0.0
2018-08-02 00:00:00-04:00,250.84609200640355,253.71015997142848,250.63958012690225,253.5395965576172,63426400,0.0,0.0,0.0
2018-08-03 00:00:00-04:00,253.6652714670832,254.6798292011158,253.48569354257066,254.62596130371094,53935400,0.0,0.0,0.0
2018-08-06 00:00:00-04:00,254.66193367280587,255.87398900834108,254.26688407908705,255.5597686767578,39400900,0.0,0.0,0.0
2018-08-07 00:00:00-04:00,256.2330621004362,256.78971523898406,256.0983649735854,256.40362548828125,43196600,0.0,0.0,0.0
2018-08-08 00:00:00-04:00,256.23297929891106,256.6998433352719,255.82894284840478,256.2958068847656,42114600,0.0,0.0,0.0
2018-08-09 00:00:00-04:00,256.3587818787198,256.75383140200915,255.81111577582706,255.94578552246094,35717000,0.0,0.0,0.0
2018-08-10 00:00:00-04:00,254.49129102495502,255.03895711400097,253.51262695808774,254.2309112548828,77076000,0.0,0.0,0.0
2018-08-13 00:00:00-04:00,254.50923462772158,255.12874283845755,252.98290449117764,253.27920532226562,65732900,0.0,0.0,0.0
2018-08-14 00:00:00-04:00,254.0154336214637,255.1377271212409,253.62038411756262,254.89529418945312,43842000,0.0,0.0,0.0
2018-08-15 00:00:00-04:00,253.53060396155635,253.6742608224856,251.537409540748,252.9918975830078,102925400,0.0,0.0,0.0
2018-08-16 00:00:00-04:00,254.44642709184427,255.9188896065246,254.41050602082183,255.03900146484375,69967900,0.0,0.0,0.0
2018-08-17 00:00:00-04:00,254.83245137515476,256.3857155171016,254.41945501939676,255.93679809570312,65618500,0.0,0.0,0.0
2018-08-20 00:00:00-04:00,256.3946775972733,256.75380601937525,255.93677310424152,256.4844665527344,39807500,0.0,0.0,0.0
2018-08-21 00:00:00-04:00,257.0051966957799,257.9568993369797,256.52035825977975,257.08599853515625,67272000,0.0,0.0,0.0
2018-08-22 00:00:00-04:00,256.6730003798931,257.463099336667,256.4036335174973,256.9333801269531,44993300,0.0,0.0,0.0
