Date,Mention_Count,Mention_Rank,Sentiment_Score,Close,Volume
2018-08-01,10.0,4.0,-0.09335,20.05599975585937,151941000.0
2018-08-02,12.0,5.0,-0.01497,23.30266761779785,348225000.0
2018-08-03,8.0,6.0,0.1219,23.211332321166992,204847500.0
2018-08-04,0.0,0.0,0.0,,
2018-08-05,0.0,0.0,0.0,,
2018-08-06,3.0,8.0,-0.11497,22.79933357238769,128464500.0
2018-08-07,15.0,3.0,0.10955,25.30466651916504,463137000.0
2018-08-08,15.0,2.0,0.01059,24.689332962036133,368568000.0
2018-08-09,13.0,4.0,0.00292,23.49666786193848,257757000.0
2018-08-10,2.0,18.0,0.07985,23.69933319091797,173280000.0
2018-08-11,2.0,2.0,-0.04945,,
2018-08-12,2.0,1.0,0.1063,,
2018-08-13,6.0,8.0,0.27695,23.76066780090332,156958500.0
2018-08-14,1.0,26.0,0.0,23.176000595092773,104796000.0
2018-08-15,11.0,2.0,-0.03048,22.57933235168457,136519500.0
2018-08-16,4.0,11.0,-0.14587,22.36333274841309,90960000.0
2018-08-17,9.0,8.0,-0.279,20.36666679382324,284379000.0
2018-08-18,0.0,0.0,0.0,,
2018-08-19,0.0,0.0,0.0,,
2018-08-20,17.0,5.0,0.14797,20.562667846679688,261034500.0
2018-08-21,5.0,11.0,0.01808,21.459999084472656,197583000.0
2018-08-22,2.0,24.0,-0.0065,21.44266700744629,89190000.0
2018-08-23,7.0,9.0,-0.16924,21.34000015258789,77209500.0
2018-08-24,3.0,18.0,-0.61027,21.521333694458008,54039000.0
2018-08-25,1.0,5.0,0.0,,
2018-08-26,0.0,0.0,0.0,,
2018-08-27,5.0,13.0,0.09176,21.284666061401367,196189500.0
2018-08-28,2.0,28.0,-0.07655,20.790666580200195,114736500.0
2018-08-29,2.0,33.0,0.0,20.333999633789062,111711000.0
2018-08-30,8.0,14.0,-0.0656,20.209999084472656,108250500.0
2018-08-31,2.0,28.0,-0.1875,20.11066627502441,80626500.0
2018-09-01,0.0,0.0,0.0,,
2018-09-02,0.0,0.0,0.0,,
2018-09-03,7.0,2.0,-0.15231,,
2018-09-04,2.0,33.0,-0.34895,19.26333236694336,125257500.0
2018-09-05,7.0,20.0,-0.14163,18.715999603271484,115812000.0
2018-09-06,10.0,13.0,0.07771,18.729999542236328,112212000.0
2018-09-07,19.0,8.0,-0.05286,17.549333572387695,337378500.0
2018-09-08,0.0,0.0,0.0,,
2018-09-09,0.0,0.0,0.0,,
2018-09-10,9.0,9.0,0.1156,19.03333282470703,214252500.0
2018-09-11,4.0,19.0,0.39278,18.62933349609375,137550000.0
2018-09-12,1.0,52.0,0.4215,19.369333267211918,150231000.0
2018-09-13,4.0,27.0,0.01468,19.297332763671875,95104500.0
2018-09-14,2.0,37.0,0.0,19.68000030517578,101484000.0
2018-09-15,0.0,0.0,0.0,,
2018-09-16,0.0,0.0,0.0,,
2018-09-17,5.0,16.0,-0.174,19.6560001373291,103314000.0
2018-09-18,18.0,10.0,-0.14774,18.997333526611328,248212500.0
2018-09-19,8.0,15.0,0.11559,19.934667587280277,124423500.0
2018-09-20,3.0,27.0,-0.2077,19.8886661529541,110241000.0
2018-09-21,3.0,33.0,0.02283,19.940000534057617,75757500.0
2018-09-22,0.0,0.0,0.0,,
2018-09-23,0.0,0.0,0.0,,
2018-09-24,3.0,37.0,0.08333,19.978666305541992,72645000.0
2018-09-25,1.0,62.0,0.743,20.06599998474121,67225500.0
2018-09-26,14.0,12.0,-0.16596,20.6386661529541,117648000.0
2018-09-27,27.0,7.0,-0.03209,20.501333236694336,127636500.0
2018-09-28,36.0,5.0,0.10946,17.65133285522461,504745500.0
2018-09-29,18.0,1.0,-0.00717,,
2018-09-30,3.0,6.0,0.18563,,
2018-10-01,51.0,4.0,0.10303,20.71333312988281,326664000.0
2018-10-02,24.0,10.0,0.03759,20.06800079345703,176152500.0
2018-10-03,10.0,16.0,0.06681,19.65333366394043,119925000.0
2018-10-04,31.0,8.0,-0.05169,18.788667678833008,147213000.0
2018-10-05,42.0,5.0,0.03681,17.463333129882812,269167500.0
2018-10-06,2.0,10.0,0.29295,,
2018-10-07,2.0,5.0,0.5292,,
2018-10-08,16.0,10.0,0.00837,16.70400047302246,202090500.0
2018-10-09,15.0,12.0,0.05603,17.520000457763672,180909000.0
2018-10-10,16.0,15.0,-0.17048,17.125333786010742,192229500.0
2018-10-11,6.0,22.0,-0.113,16.815332412719727,122515500.0
2018-10-12,5.0,21.0,0.16522,17.25200080871582,108021000.0
2018-10-13,1.0,30.0,0.6046,,
2018-10-14,1.0,11.0,0.0,,
2018-10-15,1.0,40.0,0.3612,17.305999755859375,93000000.0
2018-10-16,3.0,29.0,0.17557,18.439332962036133,142896000.0
2018-10-17,11.0,12.0,0.1674,18.118667602539062,129832500.0
2018-10-18,4.0,26.0,0.16888,17.5939998626709,81318000.0
